feature,importance
PAY_1,0.5760239601364603
PAY_2,0.09046970473506759
PAY_3,0.0649261923201624
PAY_4,0.04515935809193343
PAY_5,0.018217184073467826
PAY_6,0.014192496724545403
AGE,0.008094091519586503
BILL_AMT2,1.9829715088640743e-06
BILL_AMT3,1.581734944298499e-06
BILL_AMT5,6.507162063901058e-07
BILL_AMT6,4.0203404327004047e-07
LIMIT_BAL,-8.259943962313095e-07
BILL_AMT4,-9.010079784600182e-07
PAY_AMT3,-1.3573100140193715e-06
PAY_AMT5,-1.415096726665366e-06
PAY_AMT6,-2.7554860466862006e-06
PAY_AMT4,-3.4354579241066434e-06
BILL_AMT1,-5.062123169433443e-06
PAY_AMT2,-1.0225830609097721e-05
PAY_AMT1,-1.0304946548709813e-05
EDUCATION,-0.09871594828610365
SEX,-0.11695130679407861
MARRIAGE,-0.15466030076269308
